,Link,Dealer/private,Price_kr,Model_year,First_registration,Mileage_km,Range_km,BatteryCapacity_kWh,Horsepower,Acceleration_sec,Color,AWD/RWD
4329,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/5974178,True,289700,2021,5/2021,24000,490,77.0,204,8.5,Koksmetal,False
4351,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6092454,True,219700,2022,1/2022,30000,343,52.0,148,10.9,Grå,False
4370,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6092072,True,264500,2021,12/2020,29500,499,77.0,204,8.5,Blåmetal,False
4377,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6151335,True,264500,2021,12/2020,29000,490,76.6,204,8.5,Hvid,False
4400,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6156066,True,269900,2022,12/2021,49000,517,76.6,204,8.5,Hvid,False
4408,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6119354,True,314900,2021,4/2021,38000,490,76.6,204,8.5,Blåmetal,False
4409,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6137721,True,314900,2022,11/2021,40000,476,76.6,299,6.2,Gråmetal,True
4417,https://www.bilbasen.dk/brugt/bil/vw/id4/style-pure-5d/6157849,True,234800,2021,9/2021,43550,340,52.0,148,10.9,Gråmetal,False
4429,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-performance-5d/6089212,True,232500,2022,10/2021,25000,343,52.0,170,9.0,Grå,False
4441,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-max-5d/6157448,True,304800,2021,5/2021,39000,506,76.6,204,8.5,Blåmetal,False
4450,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/5964143,True,359700,2021,6/2021,43000,479,77.0,299,6.2,Hvidmetal,True
4453,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6157841,True,264900,2021,8/2021,30000,517,77.0,204,8.5,Grå,False
4468,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/5965570,True,304900,2022,6/2022,24000,514,77.0,204,8.5,Hvidmetal,False
4472,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6151013,True,349700,2021,5/2021,24000,479,76.6,299,6.2,Hvidmetal,True
4492,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6158157,True,289900,2022,9/2022,36000,514,76.6,204,8.5,Sortmetal,False
4505,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6044743,True,327900,2022,7/2022,40000,476,77.0,299,6.2,Sortmetal,True
4521,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/5695767,True,349990,2021,8/2021,30000,479,77.0,299,6.2,Rødmetal,True
4525,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6132003,True,339900,2021,12/2020,25000,490,76.6,204,8.5,Hvid,False
4529,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6132606,True,274500,2021,10/2021,27000,517,77.0,204,8.5,Grå,False
4543,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6069417,True,329900,2022,12/2021,39000,476,77.0,299,6.2,Sortmetal,True
4564,https://www.bilbasen.dk/brugt/bil/vw/id4/city-pure-performance-5d/6056893,True,249900,2021,10/2021,28000,343,52.0,170,9.0,Grå,False
4571,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6017086,True,284900,2021,4/2021,26000,490,77.0,204,8.5,Blåmetal,False
4574,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6070241,True,319900,2021,4/2021,32000,490,77.0,204,8.5,Gråmetal,False
4578,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6030989,True,339900,2022,6/2022,35000,476,77.0,299,6.2,Sølvmetal,True
4584,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6135257,True,359800,2021,11/2021,26500,479,77.0,299,6.2,Hvid,True
4604,https://www.bilbasen.dk/brugt/bil/vw/id4/max-performance-5d/6128881,True,314900,2021,9/2021,38000,506,76.6,204,8.5,Koksmetal,False
4605,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6014205,True,239900,2022,1/2022,26000,343,52.0,148,10.9,Gråmetal,False
4617,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6113121,True,284700,2022,3/2022,40000,514,76.6,204,8.5,Hvid,False
4634,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6152254,True,264700,2021,1/2021,27000,490,76.6,204,8.5,Blåmetal,False
4636,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6074543,True,204700,2021,11/2021,32000,343,52.0,148,10.9,Hvid,False
4639,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6047640,True,330000,2021,4/2021,33000,490,77.0,204,8.5,Hvid,False
4646,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6147013,True,279900,2021,12/2020,31000,490,76.6,204,8.5,Hvidmetal,False
4648,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6113896,True,319900,2023,12/2022,43000,531,76.6,204,8.5,Hvid,False
4661,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-5d/6131940,True,279900,2021,4/2021,36000,499,76.6,204,8.5,Blåmetal,False
4679,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6120012,True,269500,2022,12/2021,41100,517,77.0,204,8.5,Hvidmetal,False
4684,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-pro-5d/6135083,True,274500,2021,10/2020,28000,499,77.0,204,8.5,Koksmetal,False
4701,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6062826,True,219900,2022,12/2021,23500,343,52.0,148,10.9,Grå,False
4703,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6154963,True,319700,2022,1/2022,45000,476,76.6,299,6.2,Hvid,True
4713,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/5977246,True,314700,2021,12/2020,31000,490,77.0,204,8.5,Blåmetal,False
4714,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6143227,True,289995,2022,3/2022,32000,517,77.0,204,8.5,Sølvmetal,False
4722,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6152751,True,299800,2021,4/2021,45000,506,76.6,204,8.5,Guldmetal,False
4760,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6110540,True,259800,2021,12/2020,24000,517,76.6,204,8.5,Blåmetal,False
4763,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6149134,True,299900,2023,1/2023,47000,517,77.0,204,8.5,Hvid,False
4804,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6027623,True,289700,2021,6/2021,24000,490,77.0,204,8.5,Gråmetal,False
4825,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-max-5d/6125617,True,314000,2022,10/2021,40000,514,76.6,204,8.5,Blåmetal,False
4829,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6139033,True,264900,2021,5/2021,50000,490,77.0,204,8.5,Hvidmetal,False
4830,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6123909,True,299800,2021,12/2020,39000,490,76.6,204,8.5,Hvidmetal,False
4852,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6088248,True,309000,2022,5/2022,35000,514,76.6,204,8.5,Lysblåmetal,False
4854,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6032377,True,295700,2021,1/2021,26000,422,58.0,204,8.5,Koksmetal,False
4867,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6152777,True,279800,2021,2/2021,29000,490,76.6,204,8.5,Hvid,False
4874,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6118855,True,274900,2021,4/2021,29000,490,76.6,204,8.5,Hvid,False
4925,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6151066,True,289700,2021,2/2021,29000,490,76.6,204,8.5,Gråmetal,False
4931,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-performance-5d/6146241,True,234800,2022,2/2022,23017,343,52.0,170,9.0,Grå,False
4940,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6019487,True,344900,2021,9/2021,41000,479,77.0,299,6.2,Hvidmetal,True
4954,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6010378,True,284700,2021,6/2021,28000,506,77.0,204,8.5,Hvid,False
4986,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-pro-5d/6081011,True,310000,2021,7/2021,50000,499,77.0,204,8.5,Hvid,False
4990,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6071796,True,364900,2021,6/2021,36000,466,77.0,299,6.2,Sølvmetal,True
4991,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6149242,True,314800,2021,9/2021,32000,490,76.6,204,8.5,Hvidmetal,False
4992,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-city-5d/6156648,True,224800,2022,10/2021,27000,343,52.0,148,10.9,Hvid,False
4993,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6126307,True,329900,2023,12/2022,42000,531,76.6,204,8.5,Hvidmetal,False
5011,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6158925,True,284900,2021,6/2021,35000,490,76.6,204,8.5,Koksmetal,False
5012,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6098769,True,329900,2022,11/2021,38000,514,76.6,204,8.5,Gråmetal,False
5027,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6145761,True,309900,2021,1/2021,36000,490,76.6,204,8.5,Koksmetal,False
5061,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6152947,True,269000,2021,10/2021,48000,517,76.6,204,8.5,Koksmetal,False
5064,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6155606,True,259800,2022,8/2022,44000,518,76.6,204,8.5,Grå,False
5097,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6152773,True,279800,2021,3/2021,28000,490,76.6,204,8.5,Hvid,False
5103,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6137751,True,259700,2021,5/2021,43000,517,76.6,204,8.5,Grå,False
5118,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6048710,True,289900,2021,10/2021,36000,517,77.0,204,8.5,Hvid,False
5122,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6158788,True,284900,2022,3/2022,28000,514,76.6,204,8.5,Grå,False
5131,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6153247,True,319900,2022,11/2021,46000,476,76.6,299,6.2,Koksmetal,True
5141,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6114709,True,309900,2021,12/2020,44000,490,76.6,204,8.5,Hvidmetal,False
5144,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6153300,True,263900,2021,3/2021,45000,499,76.6,204,8.5,Gråmetal,False
5165,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6148948,True,259900,2021,5/2021,50000,517,77.0,204,8.5,Grå,False
5199,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6092985,True,259900,2021,5/2021,63000,517,76.6,204,8.5,Blåmetal,False
5208,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6147952,True,258800,2021,3/2021,52000,490,76.6,204,8.5,Koksmetal,False
5213,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6090536,True,289900,2021,4/2021,51500,490,76.6,204,8.5,Sortmetal,False
5221,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6106889,True,279000,2021,12/2021,57000,517,76.6,204,8.5,Rød,False
5234,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/5975093,True,289900,2021,9/2021,63000,517,77.0,204,8.5,Hvidmetal,False
5235,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6139779,True,259900,2021,4/2021,57000,490,76.6,204,8.5,Blåmetal,False
5250,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6131920,True,269900,2022,12/2021,68000,514,76.6,204,8.5,Hvidmetal,False
5259,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6108691,True,299900,2021,12/2020,51000,490,76.6,204,8.5,Hvidmetal,False
5268,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6109025,True,239900,2021,6/2021,112000,490,76.6,204,8.5,Hvid,False
5269,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6156623,True,329900,2022,12/2021,61000,490,76.6,204,8.5,Koksmetal,False
5270,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-max-5d/6138346,True,299700,2021,1/2021,52000,506,76.6,204,8.5,Blåmetal,False
5298,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6151225,True,239800,2021,8/2021,116000,490,76.6,204,8.5,Blå,False
5299,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-max-5d/6146554,True,239900,2021,3/2021,142000,490,76.6,204,8.5,Mørkgrå,False
5310,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-performance-5d/6081658,True,234700,2021,12/2021,57000,343,52.0,170,9.0,Hvid,False
5348,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6149962,True,289900,2021,5/2021,64000,490,77.0,204,8.5,Hvid,False
5354,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6151554,True,209900,2021,6/2021,145000,517,76.6,204,8.5,Hvid,False
5355,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-max-5d/6083872,True,279900,2021,5/2021,100000,490,77.0,204,8.5,Koksmetal,False
5372,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6156404,True,269900,2022,1/2022,51000,514,76.6,204,8.5,Grå,False
5382,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6143283,True,299900,2022,3/2022,62000,473,76.6,299,6.2,Sort,True
5406,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6149020,True,249900,2021,4/2021,80000,517,77.0,204,8.5,Grå,False
5421,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6138354,True,264900,2021,5/2021,52000,490,77.0,204,8.5,Gråmetal,False
5436,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6031396,True,289800,2021,10/2021,62000,514,77.0,204,8.5,Hvid,False
5448,https://www.bilbasen.dk/brugt/bil/vw/id4/family-performance-5d/6135176,True,304900,2022,2/2022,60000,511,76.6,204,8.5,Hvid,False
5456,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6113992,True,309900,2021,1/2021,54000,490,76.6,204,8.5,Gråmetal,False
5463,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6052445,True,269900,2022,8/2021,71000,514,77.0,204,8.5,Hvid,False
5469,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6118807,True,299900,2021,12/2020,51000,490,76.6,204,8.5,Koksmetal,False
5481,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6156248,True,289900,2021,4/2021,56000,490,77.0,204,8.5,Mørkblåmetal,False
5520,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6152803,True,269000,2021,6/2021,51000,517,76.6,204,8.5,Hvidmetal,False
5532,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6143305,True,338900,2021,5/2021,51000,479,77.0,299,6.2,Gråmetal,True
5546,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-max-5d/6104805,True,289900,2021,3/2021,93000,506,76.6,204,8.5,Mørkgrå,False
5568,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6072392,True,279990,2021,4/2021,57000,490,77.0,204,8.5,Hvid,False
5612,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6104270,True,279900,2022,2/2022,62500,514,76.6,204,8.5,Grå,False
5643,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-max-5d/6137873,True,249780,2021,4/2021,140000,490,76.6,204,8.5,Hvid,False
5661,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6154799,True,244900,2021,4/2021,81000,490,76.6,204,8.5,Hvid,False
5665,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6153071,True,294900,2021,3/2021,57000,490,76.6,204,8.5,Koksmetal,False
5673,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-max-5d/6144535,True,229900,2021,4/2021,150000,488,76.6,204,8.5,Gråmetal,False
5675,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6142069,True,259780,2021,4/2021,58000,490,76.6,204,8.5,Blåmetal,False
5678,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-max-5d/6110736,True,264780,2021,6/2021,99000,490,76.6,204,8.5,Blåmetal,False
5686,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6159061,True,249800,2021,2/2021,127000,490,77.0,204,8.5,Hvid,False
5694,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-max-5d/6150993,True,294900,2021,6/2021,63000,506,76.6,204,8.5,Hvidmetal,False
5714,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6022118,True,269900,2021,4/2021,60000,490,77.0,204,8.5,Koksmetal,False
5715,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-business-5d/6147920,True,259000,2021,6/2021,106000,516,76.6,204,8.5,Hvid,False
5719,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6111159,True,259900,2022,5/2022,89000,514,76.6,204,8.5,Grå,False
5721,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6120123,True,279500,2022,2/2022,57600,517,77.0,204,8.5,Hvidmetal,False
5738,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6134204,True,279800,2021,4/2021,86803,490,77.0,204,8.5,Hvid,False
5747,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6151569,True,259900,2021,8/2021,69500,490,77.0,204,8.5,Blåmetal,False
5798,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6095652,True,229900,2021,3/2021,148000,490,76.6,204,8.5,Guldmetal,False
5809,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6151271,True,239800,2022,8/2021,126000,516,76.6,204,8.5,Blåmetal,False
5815,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-max-5d/6154652,True,279900,2021,4/2021,56500,490,77.0,204,8.5,Gråmetal,False
5842,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6129861,True,284000,2021,3/2021,83000,490,76.6,204,8.5,Hvid,False
5856,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6153636,True,264990,2021,5/2021,66500,517,76.6,204,8.5,Koksmetal,False
5921,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6128072,True,274700,2021,4/2021,72000,490,76.6,204,8.5,Koksmetal,False
5933,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6047861,True,294900,2021,3/2021,78000,490,77.0,204,8.5,Koksmetal,False
5937,https://www.bilbasen.dk/brugt/bil/vw/id4/tech-performance-5d/6142201,True,289999,2022,1/2022,56000,507,76.6,204,8.5,Hvidmetal,False
5950,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6150071,True,269900,2022,3/2022,52500,514,76.6,204,8.5,Grå,False
5959,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6153938,True,264900,2022,1/2022,55000,514,76.6,204,8.5,Hvidmetal,False
5962,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6108563,True,314900,2021,9/2021,79130,479,76.6,299,6.2,Sølvmetal,True
5974,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6149048,True,264900,2021,4/2021,54000,490,76.6,204,8.5,Hvid,False
5994,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6114108,True,289900,2021,5/2021,56000,490,76.6,204,8.5,Gråmetal,False
6008,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6157309,True,249900,2021,4/2021,75000,490,77.0,204,8.5,Gråmetal,False
6014,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6158890,True,269900,2021,12/2020,59000,490,76.6,204,8.5,Blåmetal,False
6031,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6144932,True,274900,2021,4/2021,77000,490,77.0,204,8.5,Blåmetal,False
6039,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6153675,True,269900,2021,5/2021,54300,490,76.6,204,8.5,Koksmetal,False
6040,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6052480,True,269900,2022,7/2021,71000,514,77.0,204,8.5,Hvid,False
6051,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6051175,True,319900,2021,10/2021,57000,487,77.0,204,8.5,Gråmetal,False
6053,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6155217,True,244900,2021,4/2021,81000,490,76.6,204,8.5,Hvid,False
6059,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6143304,True,264900,2022,2/2022,61000,517,77.0,204,8.5,Hvid,False
6065,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6064554,True,297000,2023,12/2022,54000,531,76.6,204,8.5,Blå,False
6066,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6156484,True,239000,2021,5/2021,125000,496,76.6,204,8.5,Koksmetal,False
6075,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6145464,True,294900,2021,4/2021,51000,490,76.6,204,8.5,Hvidmetal,False
6102,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6149985,True,244900,2021,6/2021,99000,517,76.6,204,8.5,Gråmetal,False
6109,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6139923,True,289900,2022,7/2022,53000,514,76.6,204,8.5,Grå,False
6128,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6118604,True,334700,2022,5/2022,56000,476,76.6,299,6.2,Hvidmetal,True
6153,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6154447,True,259900,2021,8/2021,53000,531,82.0,204,8.5,Grå,False
6166,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6151164,True,284800,2023,12/2022,56000,517,77.0,204,8.5,Hvid,False
6171,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6157418,True,259700,2021,4/2021,71000,490,76.6,204,8.5,Blåmetal,False
6188,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6071382,True,269700,2021,4/2021,65000,490,77.0,204,8.5,Hvidmetal,False
6191,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/5923161,True,269800,2022,10/2021,97200,514,77.0,204,8.5,Lysblåmetal,False
6194,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6140504,True,274900,2021,6/2021,52000,490,76.6,204,8.5,Hvidmetal,False
6203,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-max-5d/6136211,True,274900,2021,4/2021,85000,490,77.0,204,8.5,Beige,False
6210,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-max-5d/6147403,True,319900,2021,6/2021,17000,490,76.6,204,8.5,Hvidmetal,False
6221,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6138824,True,344700,2022,11/2022,12000,476,76.6,299,6.2,Hvidmetal,True
6251,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6134081,True,285000,2021,6/2021,22000,517,76.6,204,8.5,Sølvmetal,False
6295,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6123145,True,329500,2023,5/2023,11000,531,76.6,204,8.5,Mørkblåmetal,False
6306,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/5584311,True,359900,2023,10/2022,22000,514,77.0,204,8.5,Hvidmetal,False
6386,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6088835,True,224900,2022,10/2021,12000,343,52.0,148,10.9,Grå,False
6413,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6130407,True,319900,2021,1/2021,22000,490,76.6,204,8.5,Gråmetal,False
6430,https://www.bilbasen.dk/brugt/bil/vw/id4/tech-performance-5d/6117676,True,339900,2022,9/2021,10000,507,76.6,204,8.5,Gråmetal,False
6445,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6084938,True,319900,2023,9/2022,13000,531,77.0,204,8.5,Hvidmetal,False
6452,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6153109,True,309900,2023,5/2023,9000,531,76.6,204,8.5,Sølvmetal,False
6453,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6153080,True,299900,2021,7/2021,22000,490,76.6,204,8.5,Hvidmetal,False
6462,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6118850,True,299900,2021,12/2021,16000,490,76.6,204,8.5,Hvid,False
6510,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6111127,True,314500,2022,12/2021,14000,476,76.6,299,6.2,Rødmetal,True
6512,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6137408,True,299900,2022,8/2022,9000,514,76.6,204,8.5,Hvidmetal,False
6530,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/5844333,True,405900,2023,6/2023,18000,496,77.0,299,6.2,Grå,True
6598,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6137729,True,279800,2021,12/2020,23000,490,76.6,204,8.5,Hvid,False
6618,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6057637,True,199800,2021,4/2021,22000,343,52.0,148,10.9,Hvid,False
6624,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6148273,True,269900,2021,10/2021,22000,517,77.0,204,8.5,Grå,False
6626,https://www.bilbasen.dk/brugt/bil/vw/id4/style-pure-5d/6150932,True,249989,2021,8/2021,22000,340,52.0,148,10.9,Blåmetal,False
6707,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6151016,True,314900,2023,1/2023,11300,531,76.6,204,8.5,Hvidmetal,False
6716,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6035186,True,299900,2021,1/2021,9000,490,77.0,204,8.5,Guldmetal,False
