,Link,Dealer/private,Price_kr,Model_year,First_registration,Mileage_km,Range_km,BatteryCapacity_kWh,Horsepower,Acceleration_sec,Color,AWD/RWD
1535,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6138035,True,289900,2023,6/2023,4000,531,77.0,174,10.4,Hvidmetal,False
1552,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6157472,True,339800,2023,4/2023,8000,531,76.6,204,8.5,Sort,False
1595,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6144033,True,319900,2023,6/2023,5000,531,76.6,204,8.5,Hvidmetal,False
1624,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/5967324,True,324900,2022,6/2022,100,514,77.0,204,8.5,Gråmetal,False
1631,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6065712,True,359900,2023,2/2023,100,479,77.0,299,6.2,Blå,True
1664,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6156073,True,289900,2023,6/2023,7000,531,77.0,174,10.4,Blåmetal,False
1723,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6148818,True,329500,2022,7/2022,7000,514,76.6,204,8.5,Grå,False
1727,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6140612,True,364900,2023,2/2024,1800,531,76.6,204,8.5,Blåmetal,False
1805,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6096964,True,359900,2023,3/2023,100,479,77.0,299,6.2,Sølvmetal,True
1809,https://www.bilbasen.dk/brugt/bil/vw/id4/style-5d/6100073,True,254900,2022,11/2021,8000,340,52.0,148,10.9,Hvid,False
1843,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6098875,True,419900,2023,2/2023,50,490,76.6,299,6.2,Gråmetal,True
1852,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6159353,True,289900,2023,6/2023,8000,531,77.0,174,10.4,Sølvmetal,False
