Link,Dealer_Private,Vehicle_type,Make,Model,Price_kr,Model_year,Mileage_km,Range_km,BatteryCapacity_kWh,Horsepower,Acceleration_0-100km/h_secs.,Trailer_hitch,Color,Drive_type
https://www.bilbasen.dk/brugt/bil/volvo/xc40/recharge-extended-range-plus-5d/6147693,True,SUV,Volvo,XC40,414900,2024,1090,570.0,78.0,252,7.3,True,Blå,RWD
https://www.bilbasen.dk/brugt/bil/nissan/ariya/63-advance-5d/6127830,True,SUV,Nissan,ARIYA,359900,2023,0,403.0,63.3,218,7.5,True,Gul_Brun_Orange,FWD
https://www.bilbasen.dk/brugt/bil/hyundai/kona/65-ev-ultimate-5d/6137985,True,CUV,Hyundai,KONA,349900,2024,5000,512.0,65.4,217,7.8,True,Blå,FWD
https://www.bilbasen.dk/brugt/bil/subaru/solterra/touring-5d/5789536,True,CUV,Subaru,SOLTERRA,354900,2022,3000,415.0,71.4,218,6.9,True,Grå,AWD
https://www.bilbasen.dk/brugt/bil/cupra/born/58-high-5d/6135056,True,Halvkombi,Cupra,BORN,259900,2023,6000,421.0,58.0,204,7.3,False,Grå,RWD
https://www.bilbasen.dk/brugt/bil/mercedes/eqe350/amg-line-4matic-4d/6156957,True,Sedan,Mercedes,EQE350,579900,2024,1800,632.0,89.0,292,6.3,True,Other,AWD
https://www.bilbasen.dk/brugt/bil/vw/id5/gtx-4motion-5d/6149612,True,CUV,Vw,ID5,419700,2023,4000,510.0,76.6,299,6.3,True,Other,AWD
https://www.bilbasen.dk/brugt/bil/vw/id3/style-5d/6129948,True,Halvkombi,Vw,ID3,310690,2024,1000,432.0,58.0,204,7.3,False,Hvid,RWD
https://www.bilbasen.dk/brugt/bil/fisker/ocean/extreme-5d/6149520,True,SUV,Fisker,OCEAN,374700,2024,2500,707.0,106.5,564,4.0,True,Hvid,AWD
https://www.bilbasen.dk/brugt/bil/vw/id5/pro-performance-5d/6156560,True,CUV,Vw,ID5,329700,2023,50,534.0,76.6,204,8.4,True,Grå,RWD
https://www.bilbasen.dk/brugt/bil/opel/zafira-e-life/75-ultimate-l3/6150420,True,MPV,Opel,ZAFIRA-E-LIFE,445000,2022,8000,311.0,75.0,136,13.3,True,Sort,FWD
https://www.bilbasen.dk/brugt/bil/opel/mokka-e/50-elegance-5d/6116022,True,CUV,Opel,MOKKA-E,199900,2023,0,338.0,45.0,136,9.0,False,Grå,FWD
https://www.bilbasen.dk/brugt/bil/bmw/ix1/xdrive30-m-sport-5d/6157524,True,CUV,Bmw,IX1,439900,2023,5000,435.0,64.8,313,5.7,True,Hvid,AWD
https://www.bilbasen.dk/brugt/bil/hyundai/ioniq-6/77-advanced-4d/6038207,True,Sedan,Hyundai,IONIQ-6,379700,2023,3730,614.0,77.4,229,7.4,True,Beige,RWD
https://www.bilbasen.dk/brugt/bil/polestar/2/long-range-5d/6090499,True,Halvkombi,Polestar,2,304900,2023,0,542.0,78.0,231,7.4,True,Hvid,FWD
https://www.bilbasen.dk/brugt/bil/mg/4/luxury-5d/6151628,True,Halvkombi,Mg,4,239800,2023,2000,435.0,64.0,204,8.0,True,Hvid,RWD
https://www.bilbasen.dk/brugt/bil/peugeot/e-308/54-first-edition-5d/6053830,True,Halvkombi,Peugeot,E-308,299900,2024,1000,412.0,54.0,156,10.5,False,Grå,FWD
https://www.bilbasen.dk/brugt/bil/dacia/spring/comfort-5d/6113833,True,Halvkombi,Dacia,SPRING,89900,2022,5000,230.0,25.0,44,19.1,False,Beige,FWD
https://www.bilbasen.dk/brugt/bil/fiat/500e/comfort-pack-3d/6105090,True,Mikro,Fiat,500E,199800,2024,100,312.0,42.0,118,9.0,False,Hvid,FWD
https://www.bilbasen.dk/brugt/bil/kia/ev9/long-range-performance-gt-line-awd-5d/6000927,True,SUV,Kia,EV9,759500,2024,7433,505.0,99.8,384,5.3,True,Sort,AWD
https://www.bilbasen.dk/brugt/bil/hyundai/ioniq-5/77-ultimate-5d/6140528,True,Halvkombi,Hyundai,IONIQ-5,384900,2023,5012,507.0,77.4,229,7.4,True,Grå,RWD
https://www.bilbasen.dk/brugt/bil/hyundai/kona/65-ev-ultimate-5d/6039072,True,CUV,Hyundai,KONA,339500,2024,5000,508.0,65.4,217,7.8,True,Sort,FWD
https://www.bilbasen.dk/brugt/bil/fiat/500e/comfort-pack-3d/6084691,True,Mikro,Fiat,500E,182900,2024,15,312.0,42.0,118,9.0,False,Hvid,FWD
https://www.bilbasen.dk/brugt/bil/mercedes/eqb250/progressive-5d/6154048,True,SUV,Mercedes,EQB250,369900,2023,8000,469.0,66.5,190,9.2,False,Sort,FWD
https://www.bilbasen.dk/brugt/bil/cupra/born/58-high-5d/6137752,True,Halvkombi,Cupra,BORN,254900,2024,5000,421.0,58.0,204,7.3,False,Grå,RWD
https://www.bilbasen.dk/brugt/bil/renault/megane-e-tech/60-iconic-5d/6156410,True,Halvkombi,Renault,MEGANE-E-TECH,319900,2023,100,450.0,60.0,220,7.4,True,Hvid,FWD
https://www.bilbasen.dk/brugt/bil/vw/id5/gtx-4motion-5d/6159327,True,CUV,Vw,ID5,439800,2023,0,510.0,77.0,299,6.3,True,Hvid,AWD
https://www.bilbasen.dk/brugt/bil/ford/mustang-mach-e/extended-range-awd-5d/5676240,True,CUV,Ford,MUSTANG-MACH-E,379900,2021,2700,540.0,98.0,351,5.8,True,Sølv,AWD
https://www.bilbasen.dk/brugt/bil/renault/megane-e-tech/60-techno-5d/6151351,True,Halvkombi,Renault,MEGANE-E-TECH,299900,2023,100,450.0,60.0,220,7.4,True,Hvid,FWD
https://www.bilbasen.dk/brugt/bil/ford/mustang-mach-e/premium-extended-range-5d/6148940,True,CUV,Ford,MUSTANG-MACH-E,464900,2023,0,600.0,99.0,294,7.0,True,Sort,RWD
https://www.bilbasen.dk/brugt/bil/kia/ev9/long-range-performance-gt-line-awd-5d/6047549,True,SUV,Kia,EV9,782098,2024,0,505.0,99.8,384,5.3,True,Hvid,AWD
https://www.bilbasen.dk/brugt/bil/mercedes/eqa250/amg-line-5d/6015596,True,CUV,Mercedes,EQA250,434900,2023,5000,424.0,66.5,190,8.6,True,Hvid,FWD
https://www.bilbasen.dk/brugt/bil/hongqi/e-hs9/84-comfort-5d/6146503,True,SUV,Hongqi,E-HS9,489990,2024,0,395.0,76.5,435,6.5,True,Sort,AWD
https://www.bilbasen.dk/brugt/bil/mercedes/eqc400/amg-4matic-5d/6108154,True,SUV,Mercedes,EQC400,609900,2023,8000,429.0,80.0,408,5.1,True,Sølv,AWD
https://www.bilbasen.dk/brugt/bil/jac/e-js4/5d/5823245,True,CUV,Jac,E-JS4,286375,2023,0,434.0,65.7,193,8.84,True,Grå,FWD
https://www.bilbasen.dk/brugt/bil/renault/scenic-e-tech/87-iconic-5d/6100001,True,CUV,Renault,SCENIC-E-TECH,384990,2024,0,625.0,87.0,220,7.9,True,Beige,FWD
https://www.bilbasen.dk/brugt/bil/audi/q8-e-tron/55-s-line-quattro-5d/6056682,True,SUV,Audi,Q8-E-TRON,849900,2024,6700,535.0,106.0,408,5.9,True,Blå,AWD
https://www.bilbasen.dk/brugt/bil/volvo/c40/p6-recharge-ultimate-5d/5997146,True,CUV,Volvo,C40,354900,2023,200,418.0,69.0,231,7.4,True,Grøn,FWD
https://www.bilbasen.dk/brugt/bil/volvo/c40/recharge-extended-range-ultimate-5d/6155458,True,CUV,Volvo,C40,429900,2024,1500,579.0,79.0,252,7.3,True,Grå,RWD
https://www.bilbasen.dk/brugt/bil/vw/idbuzz/life-5d/6159045,True,MPV,Vw,IDBUZZ,399800,2024,0,417.0,82.0,204,10.2,True,Sølv,RWD
https://www.bilbasen.dk/brugt/bil/lexus/rz450e/luxury-5d/6148205,True,CUV,Lexus,RZ450E,559900,2023,7764,400.0,71.4,313,5.6,True,Gul_Brun_Orange,AWD
https://www.bilbasen.dk/brugt/bil/ford/mustang-mach-e/premium-extended-range-5d/6147793,True,CUV,Ford,MUSTANG-MACH-E,369900,2023,7000,600.0,88.0,294,7.0,True,Rød,RWD
https://www.bilbasen.dk/brugt/bil/mercedes/eqa250/progressive-line-5d/6085521,True,CUV,Mercedes,EQA250,289900,2022,7000,427.0,66.5,190,8.9,True,Sølv,FWD
https://www.bilbasen.dk/brugt/bil/kia/ev6/77-long-range-gt-line-upgrade-5d/6134991,True,Halvkombi,Kia,EV6,369900,2022,3000,528.0,72.5,229,7.5,True,Hvid,RWD
https://www.bilbasen.dk/brugt/bil/mg/4/luxury-5d/6133511,True,Halvkombi,Mg,4,224900,2024,10,435.0,64.0,204,8.0,True,Sort,RWD
https://www.bilbasen.dk/brugt/bil/kia/ev6/77-long-range-gt-line-5d/6139786,True,Halvkombi,Kia,EV6,409900,2024,100,510.0,77.4,229,7.5,True,Hvid,RWD
https://www.bilbasen.dk/brugt/bil/kia/niro/64-ev-upgrade-5d/6150448,True,CUV,Kia,NIRO,304900,2024,50,460.0,64.8,204,7.8,True,Sort,FWD
https://www.bilbasen.dk/brugt/bil/citron/-berlingo/50-comfort-5d/5967225,True,MPV,Citron,-BERLINGO,259990,2022,2000,280.0,45.0,136,11.5,True,Sort,FWD
https://www.bilbasen.dk/brugt/bil/aiways/u5/premium-5d/6102839,True,SUV,Aiways,U5,264900,2023,50,400.0,63.0,204,7.5,True,Sølv,FWD
