Link,Brand,Model,Variant,Price,Modelår,1. registrering,Kilometertal,Drivmiddel,Rækkevidde,Batterikapacitet,Energiforbrug,Hjemmeopladning AC,Hurtig opladning DC,Opladningstid DC 10-80%,Periodisk afgift,Ydelse,Acceleration,Tophastighed,Trækvægt,Farve,Nypris,Kategori,Type,Bagagerumsstørrelse,Vægt,Bredde,Længde,Højde,Lasteevne,Max. trækvægt m/bremse,Trækhjul,ABS-bremser,ESP,Airbags,Døre,Produceret,Error
https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6138354,Vw,ID4,Pro performance,264.900 kr.,2021.0,5/2021,52.000 km,El,(WLTP) 490 km,"77,0 kWh",184 Wh/km,-,-,-,880 kr. / år,204 hk/310 nm,"8,5 sek.",160 km/t,1.000 kg,Gråmetal,-,Personbil,CUV,543 liter,2.085 kg,185 cm,459 cm,163 cm,575 kg,1.000 kg,Baghjulstræk,Ja,Ja,7,5,,
https://www.bilbasen.dk/brugt/bil/polestar/2/long-range-awd-5d/6077169,Polestar,2,Long range,424.900 kr.,2024.0,8/2023,5.200 km,El,(WLTP) 592 km,"82,0 kWh",139 Wh/km,-,-,-,780 kr. / år,421 hk/740 nm,"4,5 sek.",205 km/t,1.500 kg,Mørkgrå,435.620 kr.,Personbil,Halvkombi,405 liter,2.010 kg,186 cm,461 cm,148 cm,590 kg,1.500 kg,Firehjulstræk,Ja,Ja,-,5,,
https://www.bilbasen.dk/brugt/bil/vw/id3/pro-s-5d/5783643,Vw,ID3,Pro,299.900 kr.,2022.0,12/2021,5.000 km,El,(WLTP) 552 km,"77,0 kWh",158 Wh/km,-,-,-,780 kr. / år,204 hk/310 nm,"7,9 sek.",160 km/t,-,Gråmetal,340.815 kr.,Personbil,Halvkombi,385 liter,1.794 kg,181 cm,426 cm,157 cm,466 kg,-,Baghjulstræk,Ja,Ja,7,5,,
https://www.bilbasen.dk/brugt/bil/hyundai/kona/65-ev-ultimate-5d/6018169,Hyundai,KONA,65 ev,349.900 kr.,2024.0,10/2023,6.000 km,El,(WLTP) 512 km,"65,4 kWh",149 Wh/km,-,-,-,780 kr. / år,217 hk/255 nm,"7,8 sek.",172 km/t,750 kg,Sortmetal,345.615 kr.,Personbil,CUV,466 liter,1.773 kg,183 cm,436 cm,158 cm,447 kg,750 kg,Forhjulstræk,Ja,Ja,6,5,,
https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-active-5d/6026963,Vw,ID4,Pro performance,324.900 kr.,2023.0,4/2023,30.000 km,El,(WLTP) 531 km,"77,0 kWh",165 Wh/km,-,-,-,780 kr. / år,204 hk/-,"8,5 sek.",160 km/t,1.000 kg,Hvid,390.715 kr.,Personbil,CUV,543 liter,2.085 kg,185 cm,459 cm,163 cm,575 kg,1.000 kg,Baghjulstræk,Ja,Ja,7,5,4/2023,
https://www.bilbasen.dk/brugt/bil/volvo/xc40/p6-recharge-plus-5d/6032149,Volvo,XC40,P6 recharge,319.900 kr.,2022.0,3/2022,79.000 km,El,(WLTP) 400 km,"70,0 kWh",200 Wh/km,-,-,-,780 kr. / år,231 hk/330 nm,"7,4 sek.",160 km/t,1.500 kg,Sortmetal,386.900 kr.,Personbil,SUV,413 liter,1.938 kg,187 cm,443 cm,165 cm,522 kg,1.500 kg,Forhjulstræk,Ja,Ja,6,5,,
https://www.bilbasen.dk/brugt/bil/vw/e-golf-vii/5d/6092464,Vw,E-GOLF-VII,5d,134.500 kr.,2020.0,11/2020,70.000 km,El,(WLTP) 231 km,"32,0 kWh",154 Wh/km,-,-,-,780 kr. / år,136 hk/290 nm,"9,6 sek.",150 km/t,-,Sortmetal,-,Personbil,Halvkombi,380 liter,1.515 kg,180 cm,427 cm,148 cm,505 kg,-,Forhjulstræk,Ja,Ja,7,5,,
https://www.bilbasen.dk/brugt/bil/vw/e-golf-vii/5d/5954754,Vw,E-GOLF-VII,5d,144.900 kr.,2020.0,7/2020,34.700 km,El,(WLTP) 300 km,"36,0 kWh",154 Wh/km,-,-,-,780 kr. / år,136 hk/290 nm,"9,6 sek.",150 km/t,-,Gråmetal,-,Personbil,Halvkombi,380 liter,1.515 kg,180 cm,427 cm,148 cm,505 kg,-,Forhjulstræk,Ja,Ja,7,5,,
https://www.bilbasen.dk/brugt/bil/audi/q8-e-tron/50-prestige-quattro-5d/5956564,Audi,Q8-E-TRON,50 prestige,629.900 kr.,2024.0,6/2023,5.000 km,El,(WLTP) 485 km,"89,0 kWh",204 Wh/km,-,-,-,780 kr. / år,340 hk/664 nm,"6,0 sek.",200 km/t,1.800 kg,Brunmetal,710.611 kr.,Personbil,SUV,569 liter,2.485 kg,194 cm,492 cm,163 cm,685 kg,1.800 kg,Firehjulstræk,Ja,Ja,6,5,,
https://www.bilbasen.dk/brugt/bil/fiat/500e/la-prima-3d/5990394,Fiat,500E,La,199.700 kr.,2023.0,12/2022,4.000 km,El,(WLTP) 310 km,"42,0 kWh",138 Wh/km,-,-,-,780 kr. / år,118 hk/220 nm,"9,0 sek.",150 km/t,-,Guldmetal,280.710 kr.,Personbil,Mikro,185 liter,1.390 kg,168 cm,363 cm,153 cm,336 kg,-,Forhjulstræk,Ja,Ja,6,3,,
https://www.bilbasen.dk/brugt/bil/audi/q4-e-tron/45-ultra-5d/6148578,Audi,Q4-E-TRON,45,509.900 kr.,2024.0,2/2024,15.000 km,El,(WLTP) 531 km,"77,0 kWh",167 Wh/km,-,-,-,780 kr. / år,286 hk/545 nm,"6,7 sek.",180 km/t,1.000 kg,Sortmetal,482.157 kr.,Personbil,CUV,520 liter,2.145 kg,187 cm,459 cm,162 cm,495 kg,1.000 kg,Baghjulstræk,Ja,Ja,6,5,,
https://www.bilbasen.dk/brugt/bil/hyundai/ioniq-5/77-essential-5d/6148703,Hyundai,IONIQ-5,77,319.700 kr.,2023.0,9/2023,17.000 km,El,(WLTP) 507 km,"77,4 kWh",168 Wh/km,-,-,-,780 kr. / år,229 hk/350 nm,"7,4 sek.",185 km/t,1.600 kg,Sortmetal,385.715 kr.,Personbil,Halvkombi,527 liter,1.885 kg,189 cm,464 cm,161 cm,545 kg,1.600 kg,Baghjulstræk,Ja,Ja,7,5,,
https://www.bilbasen.dk/brugt/bil/tesla/model-3/performance-awd-4d/6007181,Tesla,MODEL-3,Performance,319.500 kr.,2023.0,11/2022,23.000 km,El,(WLTP) 547 km,"82,0 kWh",165 Wh/km,-,-,-,780 kr. / år,534 hk/-,"3,3 sek.",261 km/t,-,Hvidmetal,-,Personbil,Sedan,542 liter,1.847 kg,184 cm,469 cm,144 cm,385 kg,-,Firehjulstræk,Ja,Ja,6,4,,
https://www.bilbasen.dk/brugt/bil/mercedes/eqc400/amg-line-4matic-5d/6056739,Mercedes,EQC400,Amg line,529.900 kr.,2023.0,11/2022,28.000 km,El,(WLTP) 410 km,"80,0 kWh",228 Wh/km,-,-,-,780 kr. / år,408 hk/760 nm,"5,1 sek.",180 km/t,1.800 kg,Sølvmetal,-,Personbil,SUV,500 liter,2.395 kg,188 cm,476 cm,162 cm,545 kg,1.800 kg,Firehjulstræk,Nej,Ja,7,5,,
https://www.bilbasen.dk/brugt/bil/hyundai/kona/64-ev-pure-5d/6018370,Hyundai,KONA,64 ev,239.900 kr.,2022.0,10/2022,10.000 km,El,(WLTP) 484 km,"64,0 kWh",147 Wh/km,-,-,-,780 kr. / år,204 hk/395 nm,"7,9 sek.",167 km/t,300 kg,Blå,275.815 kr.,Personbil,CUV,332 liter,1.660 kg,180 cm,421 cm,157 cm,510 kg,300 kg,Forhjulstræk,Ja,Ja,6,5,,
https://www.bilbasen.dk/brugt/bil/opel/mokka-e/50-gs-line-5d/6150959,Opel,MOKKA-E,50 gs,174.900 kr.,2023.0,12/2022,15.000 km,El,(WLTP) 335 km,"45,0 kWh",159 Wh/km,-,-,-,780 kr. / år,136 hk/260 nm,"9,0 sek.",150 km/t,-,Hvid,-,Personbil,CUV,310 liter,1.498 kg,179 cm,415 cm,152 cm,517 kg,-,Forhjulstræk,Ja,Ja,6,5,,
https://www.bilbasen.dk/brugt/bil/hyundai/ioniq-5/73-dynamiq-awd-5d/5973783,Hyundai,IONIQ-5,73 dynamiq,299.500 kr.,2021.0,7/2021,45.000 km,El,(WLTP) 460 km,"73,0 kWh",177 Wh/km,-,-,-,780 kr. / år,306 hk/605 nm,"5,2 sek.",185 km/t,1.600 kg,Gråmetal,-,Personbil,Halvkombi,499 liter,1.995 kg,189 cm,464 cm,161 cm,545 kg,1.600 kg,Firehjulstræk,Ja,Ja,7,5,,
